YEAR,MONTH,DAY,STID,ATOT,WSMX,WSMN,WSPD
2014,12,7,HINT,3.05,20.33,1.96,9.23
2014,12,8,HINT,10.91,11.51,0.13,5.77
2014,12,9,HINT,10.25,12.52,0,6.63
2014,12,10,HINT,8.55,15.9,0.55,7.73
2014,12,11,HINT,5.5,10.46,1.55,5.07
2014,12,12,HINT,4.45,12.62,1.99,8.32
2014,12,13,HINT,4.13,26.96,8.38,15.88
2014,12,14,HINT,4.54,30.33,9.26,20.44
2014,12,15,HINT,12.12,26.06,11.72,17.93
2014,12,16,HINT,11.16,20.87,0.73,7.84
2014,12,17,HINT,1.74,15.42,2.26,8.13
2014,12,18,HINT,1.98,11.79,0.86,6.21
2014,12,19,HINT,3.36,14.57,0.9,5.71
2014,12,20,HINT,1.78,15.5,2.25,8.46
2014,12,21,HINT,1.86,24.58,8.77,16.98
2014,12,22,HINT,7.87,22.3,2.75,10.52
2014,12,23,HINT,5.67,22.73,4.64,13.08
2014,12,24,HINT,12.03,18.32,5.12,12.06
2014,12,25,HINT,8.25,34.65,10.62,23.54
2014,12,26,HINT,7.89,25.26,6.63,15.23
2014,12,27,HINT,8.13,18.95,0.87,9.76
2014,12,28,HINT,12.26,18.57,0,7.56
2014,12,29,HINT,11.79,20.71,1.05,11.04
2014,12,30,HINT,2.13,24.99,13.37,18.62
2014,12,31,HINT,4.21,20.51,0.62,8.61
