"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2015,11,13,TISH,15.11,11.47,0.00,4.08
2015,11,14,TISH,10.27,15.48,0.00,5.59
2015,11,15,TISH,2.79,14.63,1.08,7.70
2015,11,16,TISH,1.20,20.96,6.68,11.80
2015,11,17,TISH,10.19,26.35,0.85,13.48
2015,11,18,TISH,14.20,18.86,0.81,10.25
2015,11,19,TISH,13.91,20.49,1.70,10.42
2015,11,20,TISH,11.51,20.09,2.97,9.18
2015,11,21,TISH,13.29,28.81,0.78,14.54
2015,11,22,TISH,14.05,12.67,0.00,4.71
2015,11,23,TISH,13.14,12.99,0.00,5.09
2015,11,24,TISH,8.03,19.37,1.74,11.21
2015,11,25,TISH,1.50,17.84,4.46,12.57
2015,11,26,TISH,1.72,21.32,4.96,13.26
2015,11,27,TISH,0.90,21.50,9.99,15.42
2015,11,28,TISH,2.38,17.11,4.32,11.49
2015,11,29,TISH,2.54,13.06,2.73,6.99
2015,11,30,TISH,4.33,11.06,0.00,5.71
2015,12,1,TISH,9.59,11.83,0.00,4.09
2015,12,2,TISH,12.82,16.12,1.91,7.85
2015,12,3,TISH,12.69,8.62,0.00,3.36
2015,12,4,TISH,12.56,12.26,0.12,5.43
2015,12,5,TISH,12.35,14.31,0.47,6.67
2015,12,6,TISH,12.48,13.91,0.46,6.27
2015,12,7,TISH,12.21,11.75,0.00,5.43
2015,12,8,TISH,11.84,21.52,1.54,8.67
2015,12,9,TISH,9.66,9.30,1.54,5.30
2015,12,10,TISH,10.23,8.48,0.00,4.12
2015,12,11,TISH,10.39,18.28,0.00,7.07
2015,12,12,TISH,1.79,22.79,5.96,13.26
2015,12,13,TISH,1.97,22.62,1.25,12.18
2015,12,14,TISH,12.48,24.81,3.17,9.69
2015,12,15,TISH,11.74,17.96,1.70,7.77
2015,12,16,TISH,12.60,17.29,3.34,8.76
2015,12,17,TISH,11.74,22.82,0.02,7.94
2015,12,18,TISH,12.48,14.49,0.04,5.12
2015,12,19,TISH,12.01,20.87,1.79,10.15
2015,12,20,TISH,1.66,20.65,8.19,14.79
2015,12,21,TISH,11.91,19.82,2.66,8.83
2015,12,22,TISH,11.37,22.64,0.00,9.43
2015,12,23,TISH,11.89,23.11,3.55,12.93
2015,12,24,TISH,10.07,14.15,0.24,7.68
2015,12,25,TISH,10.76,12.11,5.00,8.57
2015,12,26,TISH,1.92,28.52,2.93,12.17
2015,12,27,TISH,0.40,40.53,11.73,25.51
2015,12,28,TISH,3.79,36.48,1.53,13.44
2015,12,29,TISH,8.79,11.39,0.12,5.60
2015,12,30,TISH,12.00,9.50,2.53,5.83
2015,12,31,TISH,9.83,14.06,3.75,7.97
